Campaign ID,Campaign Name,Start Date,Status,App Name,Ad Placement,Lifetime Budget,Daily Budget,Spend,Average cost per tap (CPT),Average cost per acquisition (CPA),Average Cost per Thousand-Impressions (CPM),Impressions,Taps,Installs,The tap-through rate (TTR),Conversion Rate (CR),LAT On Installs,LAT Off Installs,New Downloads,Redownloads
470311161,0.54 - May 2022 - Arab,31-Aug-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000,500,103.98,0.05,0.16,1.53,68146,1940,664,0.03,0.34,7,337,658,6
481689442,0.54 - Tier 1 & 2 - May 2022,04-Oct-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,10000,300,20.1,0.09,0.48,2.61,7686,229,42,0.03,0.18,1,3,42,0
469927825,0.54 - Tier 1 - May 2022,29-Aug-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,1000,300,265.51,0.09,0.41,1.8,147441,2830,646,0.02,0.23,85,313,641,5
474269632,1.00 - My Keywords,14-Sep-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000,1000,141.22,0.08,0.32,2.56,55186,1776,444,0.03,0.25,67,171,439,5
484006307,1.01 - US/OZ - May 2022 - Performing Keywords,12-Oct-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,10000,300,195.65,0.09,0.41,1.81,108100,2139,472,0.02,0.22,35,123,470,2
487011463,1.50 - May 2022 - USA,18-Oct-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,6000,300,525.36,0.73,2.44,14.7,35732,717,215,0.02,0.3,2,5,214,1
579860807,1.50 - USA - May 2022 - Apple Suggest,03-Jul-21,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,10000,500,11.74,0.65,3.91,7.97,1473,18,3,0.01,0.17,0,0,3,0
481406796,Japan Oct 2020 0.19,04-Oct-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,1000,1000,5.17,0.13,0.37,2.08,2491,41,14,0.02,0.34,0,1,14,0
1454602506,Sleep - Exploration Sept 2023,16-Sep-23,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,,500,2.94,0.49,0,3.68,798,6,0,0.01,0,0,0,0,0
1153489791,Sleep Habits - Product pages,28-Sep-22,PAUSED,Sleep Habits: Sleep Better,Product Pages—While Browsing,,100,27.32,0.14,1.71,1.57,17412,191,16,0.01,0.08,0,0,16,0
1153492631,Sleep Habits Todays Tab,28-Sep-22,PAUSED,Sleep Habits: Sleep Better,Today Tab,,100,0,0,0,0,0,0,0,0,0,0,0,0,0
469819327,Sleep Habits WW Launch,29-Aug-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,1000,500,158.95,0.06,0.32,1.64,96714,2729,503,0.03,0.18,78,290,499,4
470617236,Top Tier Sleep,01-Sep-20,PAUSED,Sleep Habits: Sleep Better,App Store Search Results,5000,500,65.83,0.11,0.56,3.75,17567,620,118,0.04,0.19,14,87,117,1
,,,,,,,,1523.76,0.12,0.49,2.73,558746,13236,3137,0.02,0.24,289,1330,3113,24
